"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 22 01:48:26 GMT 2022","Fri Jul 22 01:48:27 GMT 2022","1269","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Fri Jul 22 01:48:25 GMT 2022","Fri Jul 22 01:48:26 GMT 2022","1228","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
