"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 01:44:58 GMT 2022","Thu Jun 02 01:44:59 GMT 2022","1091","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Thu Jun 02 01:44:59 GMT 2022","Thu Jun 02 01:44:59 GMT 2022","241","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
