"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 30 05:26:40 GMT 2022","Mon May 30 05:26:41 GMT 2022","474","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Mon May 30 05:26:39 GMT 2022","Mon May 30 05:26:40 GMT 2022","1847","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
