"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 05:18:10 GMT 2022","Mon May 30 05:18:12 GMT 2022","1822","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Mon May 30 05:18:12 GMT 2022","Mon May 30 05:18:13 GMT 2022","371","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
