"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 14:34:38 GMT 2022","Thu Jun 02 14:34:40 GMT 2022","1761","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Thu Jun 02 14:34:40 GMT 2022","Thu Jun 02 14:34:40 GMT 2022","469","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
