"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 01 02:09:44 GMT 2022","Wed Jun 01 02:09:45 GMT 2022","537","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Wed Jun 01 02:09:42 GMT 2022","Wed Jun 01 02:09:44 GMT 2022","1985","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
