"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 21 19:14:27 GMT 2022","Tue Jun 21 19:14:27 GMT 2022","706","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Tue Jun 21 19:14:25 GMT 2022","Tue Jun 21 19:14:27 GMT 2022","2042","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
