"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 02:11:50 GMT 2022","Thu Jul 07 02:11:53 GMT 2022","3063","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Thu Jul 07 02:11:53 GMT 2022","Thu Jul 07 02:11:53 GMT 2022","609","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
