"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 07 01:42:29 GMT 2022","Thu Jul 07 01:42:30 GMT 2022","1218","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Thu Jul 07 01:42:26 GMT 2022","Thu Jul 07 01:42:29 GMT 2022","2686","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
