"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 06:15:05 GMT 2022","Fri Jun 03 06:15:07 GMT 2022","2464","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Fri Jun 03 06:15:07 GMT 2022","Fri Jun 03 06:15:07 GMT 2022","293","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
