"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 19:13:48 GMT 2022","Tue Jun 21 19:13:49 GMT 2022","1089","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Tue Jun 21 19:13:49 GMT 2022","Tue Jun 21 19:13:50 GMT 2022","346","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
