"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 21 19:07:03 GMT 2022","Tue Jun 21 19:07:03 GMT 2022","278","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Tue Jun 21 19:07:01 GMT 2022","Tue Jun 21 19:07:03 GMT 2022","2505","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
