"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 01:54:18 GMT 2022","Tue Jun 14 01:54:18 GMT 2022","296","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Tue Jun 14 01:54:17 GMT 2022","Tue Jun 14 01:54:18 GMT 2022","920","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
