"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 01 14:48:04 GMT 2022","Fri Jul 01 14:48:05 GMT 2022","719","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Fri Jul 01 14:48:04 GMT 2022","Fri Jul 01 14:48:04 GMT 2022","721","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
