"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 01:53:25 GMT 2022","Wed Jun 15 01:53:26 GMT 2022","821","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Wed Jun 15 01:53:26 GMT 2022","Wed Jun 15 01:53:27 GMT 2022","746","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
