"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 19:19:00 GMT 2022","Tue Jun 21 19:19:02 GMT 2022","1626","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
"failed","Tue Jun 21 19:19:02 GMT 2022","Tue Jun 21 19:19:02 GMT 2022","356","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
