"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 03 06:15:00 GMT 2022","Fri Jun 03 06:15:01 GMT 2022","746","","Open Page of differents webSite","","Open Page of differents webSite","should display Puppeter text on page title","should display Puppeter text on page title",""
"passed","Fri Jun 03 06:14:59 GMT 2022","Fri Jun 03 06:15:00 GMT 2022","1154","","Open Page of differents webSite","","Open Page of differents webSite","should display Facebook text on page title","should display Facebook text on page title",""
